Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="791201"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022, 6,="FTAZRFND",JHERRMAN,="N",="FTX",30-JUN-2021,0,="020",="791201", , , , , ,="AZ Refund Accrual",="AZ Refund Audit - 2012-3/31/15",2, ,P,       $-1343114.05,       $-1343114.05, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,10,="APACC73698",ACCRUALS,="N",="AP",31-OCT-2021,0,="020",="791201",="CIT",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",4, ,P,           $6766.57,           $6766.57,="K6333011",     3,     1,="ECB0487",25-OCT-2021,,KSOPHR,="R",="14524876",="0000203101",="CITY OF PORTLAND OR", , , , , , , , , , , , , , , , ,="CWLPrtlndNotice03.31.2020",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"ECB9138271297","",
2022,11,="APACC75251",ACCRUALS,="N",="AP",30-NOV-2021,0,="020",="791201",="MT",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",5, ,P,           $2747.00,           $2747.00,="K6414987",     3,     1,="ECB0490",23-NOV-2021,,KSOPHR,="R",="14525730",="0000219718",="STATE OF MONTANA", , , , , , , , , , , , , , , , ,="0XMMTNotice12.31.2020",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"ECB9138271297","",
2022, 1,="GABKL01101",BLAKIN,="N",="ENT",31-JAN-2021,0,="020",="791201",="NE",="01162", , , ,="Jan 2020 - Misc Cash",="79 State of Nebraska 22831",86,MATCHED,P,        $-750000.00,        $-750000.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="APACC62145",ACCRUALS,="N",="AP",31-MAR-2021,0,="081",="791201",="OR",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",9, ,P,            $150.00,            $150.00,="K5353768",     3,     1,="AEF0400",10-MAR-2021,,KSOPHR,="R",="14492128",="0000201289",="STATE OF OREGON", , , , , , , , , , , , , , , , ,="12.31.20 OR SSHCLLC EXT",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"AEF9133155743","",
2022, 3,="FTRCLS081",THUNT,="N",="FTX",31-MAR-2021,0,="081",="791201",="OR",="01162", , , ,="Recls Refund and Payments",="Recls 12.31 OR Pmt",4, ,P,           $-150.00,           $-150.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="APACC62145",ACCRUALS,="N",="AP",31-MAR-2021,0,="081",="791201",="VT",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",10, ,P,            $250.00,            $250.00,="K5353771",     3,     1,="AEF0403",10-MAR-2021,,KSOPHR,="R",="14492132",="0000202182",="STATE OF VERMONT", , , , , , , , , , , , , , , , ,="12.31.20 VT SSHC Ext",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"AEF9133155743","",
2022, 3,="FTRCLS081",THUNT,="N",="FTX",31-MAR-2021,0,="081",="791201",="VT",="01162", , , ,="Recls Refund and Payments",="Recls 12.31 VT Pmt",6, ,P,           $-250.00,           $-250.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="FTJHACR",JHERRMAN,="N",="FTX",30-SEP-2021,0,="099",="791201", , , , , ,="Tax Accrual entry - Q3'2021",="Tax Accrual entry - Q3'2021",155,JHERRMAN,P,           $4061.00,           $4061.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="GABKL09100",SP846265,="N",="ENT",30-SEP-2021,0,="099",="791201",="NM",="01162", , , ,="Sept 2021 - Misc Cash",="8 State of New Mexico 31265",31,MATCHED,P,          $-4061.00,          $-4061.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,12,="APACC76374",ACCRUALS,="N",="AP",31-DEC-2021,0,="099",="791201",="PA",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",73, ,P,           $1905.00,           $1905.00,="K6455541",     1,     1,="TDH0244",17-DEC-2021,,KSOPHR,="R",="0012232596",="0000200628",="COMMONWEALTH OF PENNSYLVANIA", , , , , , , , , , , , , , , , ,="3.31.18 PA Notice BU 0F4",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"TDH9133155740","",
