Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="648405"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022, 1,="APACC58494",ACCRUALS,="N",="AP",31-JAN-2021,0,="020",="648405",="OK",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",4, ,P,            $100.00,            $100.00,="K4783848",     1,     1,="PJR0035",12-JAN-2021,,KSOPHR,="R",="14467410",="0000219660",="STATE OF OKLAHOMA", , , , , , , , , , , , , , , , ,="020 OK FRANCHISE TR 3.31.20",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"PJR9133154455","",
2022, 3,="FTRCLSFRAN",THUNT,="N",="FTX",16-MAR-2021,0,="020",="648405",="OK",="01162", , , ,="Recls Franchise Pmts Refunds",="Recls Fran Pmt",2, ,P,           $-100.00,           $-100.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 1,="GABKL01101",BLAKIN,="N",="ENT",31-JAN-2021,0,="085",="648405",="AL",="01162", , , ,="Jan 2020 - Misc Cash",="45 State of Alabama 22842",105,MATCHED,P,           $-900.00,           $-900.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTRCLSFRAN",THUNT,="N",="FTX",16-MAR-2021,0,="085",="648405",="AL",="01162", , , ,="Recls Franchise Pmts Refunds",="Recls Fran Refund",4, ,P,            $900.00,            $900.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="GABKL03100",BLAKIN,="N",="ENT",31-MAR-2021,0,="099",="648405",="NC",="01162", , , ,="Mar 2021 - Misc Cash",="2 State of N Carolina 22915",4,MATCHED,P,           $-134.00,           $-134.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="GABKL03100",BLAKIN,="N",="ENT",31-MAR-2021,0,="120",="648405",="GA",="01162", , , ,="Mar 2021 - Misc Cash",="3 State of Georgia 22915",5,MATCHED,P,          $-4853.63,          $-4853.63, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,11,="STSXP130JE",SPATEL,="N",="STX",22-NOV-2021,0,="130",="648405", ,="01162", , , ,="IL ARPT RECLASS",="IL ARPT RECLASS",2, ,P,        $-123854.00,        $-123854.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,11,="APACC74566",ACCRUALS,="N",="AP",30-NOV-2021,0,="130",="648405",="IL",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",9, ,P,         $123854.00,         $123854.00,="K6374920",     1,     1,="SP1661",08-NOV-2021,,KSOPHR,="R",="0012232371",="0000200371",="CORPORATION SERVICE COMPANY", , , , , , , , , , , , , , , , ,="Nwest IL Arpt 2021 fran pay cs",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"SITSP9133159981","",
2022, 2,="GABKL02101",BLAKIN,="N",="ENT",28-FEB-2021,0,="VM1",="648405",="AL",="01162", , , ,="Feb 2021 - Misc Cash",="63 State of Alabama 22909",3,MATCHED,P,          $-1531.00,          $-1531.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTRCLSFRAN",THUNT,="N",="FTX",16-MAR-2021,0,="VM1",="648405",="AL",="01162", , , ,="Recls Franchise Pmts Refunds",="Recls Fran Refund",6, ,P,           $1531.00,           $1531.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
