Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="208600"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022, 3,="GABKL03101",BLAKIN,="N",="ENT",31-MAR-2021,0,="003",="208600",="AL",="01162", , , ,="Mar 2021 - Misc Cash",="55 STATE OF AL 24963",2,MATCHED,P,         $-14900.00,         $-14900.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="APVG031121",VENKAT,="N",="LFT",31-MAR-2021,0,="003",="208600",="AR",="01162", , , ,="RECLS CLSED BU TO CONVRGNG BU",="RECLS CLSED BU TO CONVRGNG BU",17, ,P,            $150.00,            $150.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 8,="APAV082321",AKSHITHA,="N",="LFT",31-AUG-2021,0,="003",="208600",="AR",="01162", , , ,="RECLS CLSED BU TO CONVRGNG BU",="RECLS CLSED BU TO CONVRGNG BU",3, ,P,           $-150.00,           $-150.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="APACC61962",ACCRUALS,="N",="AP",31-MAR-2021,0,="016",="208600",="AR",="01162", , , ,="Accounts Payable Accrual",="AP Vouchers",1, ,P,            $150.00,            $150.00,="K5310661",     1,     1,="VCK0160",26-FEB-2021,,KSOPHR,="R", ,="0000201798",="STATE OF ARKANSAS", , , , , , , , , , , , , , , , ,="UST Arkansas withdrawal",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"VCK9138271288","",
2022, 3,="APACC61962",ACCRUALS,="N",="AP",31-MAR-2021,0,="016",="208600",="AR",="01162", , , , ,="AP Vouchers",1, ,P, , ,="K5310661",     1,     1,="VCK0160",26-FEB-2021,,KSOPHR,="R",="14490494",="0000201798",="STATE OF ARKANSAS", , , , , , , , , , , , , , , , ,="UST Arkansas withdrawal",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"VCK9138271288","",
2022, 3,="APVG031121",VENKAT,="N",="LFT",31-MAR-2021,0,="016",="208600",="AR",="01162", , , ,="RECLS CLSED BU TO CONVRGNG BU",="RECLS CLSED BU TO CONVRGNG BU",7, ,P,           $-150.00,           $-150.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 8,="APAV082321",AKSHITHA,="N",="LFT",31-AUG-2021,0,="016",="208600",="AR",="01162", , , ,="RECLS CLSED BU TO CONVRGNG BU",="RECLS CLSED BU TO CONVRGNG BU",1, ,P,            $150.00,            $150.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 8,="APCLS70413",CLOSE,="N",="AP",31-AUG-2021,0,="016",="208600",="AR",="01162", , , ,="AP Manual Closures",="AP Closed Vouchers",1, ,P,           $-150.00,           $-150.00,="K5310661",     1,     1,="VCK0160",26-FEB-2021,,KSOPHR,="R", ,="0000201798",="STATE OF ARKANSAS", , , , , , , , , , , , , , , , ,="UST Arkansas withdrawal",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"VCK9138271288","",
2022, 8,="APCLS70413",CLOSE,="N",="AP",31-AUG-2021,0,="016",="208600",="AR",="01162", , , , ,="AP Closed Vouchers",1, ,P, , ,="K5310661",     1,     1,="VCK0160",26-FEB-2021,,KSOPHR,="R",="14490494",="0000201798",="STATE OF ARKANSAS", , , , , , , , , , , , , , , , ,="UST Arkansas withdrawal",="prodcntl",="Control-M and scheduling ID",0.000000000000000000000000000000000000,0.0000000000000,0.0000000000000,"VCK9138271288","",
2022, 1,="UTXSH0121C",SHARRIS,="N",="UTX",25-JAN-2021,0,="020",="208600", , , , , ,="VA 3Q21 GR ACCRUAL RECLASS",="VA 3Q21 GR ACCRUAL RECLASS",4, ,P,         $-59455.87,         $-59455.87, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
