Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="790200"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022, 2,="GMPJHOTADJ",PHAATAJA,="N",="GMA",28-FEB-2021,0,="003",="790200", , , , , ,="INFOR Other Adj",="DCWC Foreign Tax Withhold",10, ,P,            $614.41,            $614.41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="GMPJHOTADJ",PHAATAJA,="N",="GMA",31-MAR-2021,0,="003",="790200", , , , , ,="INFOR Other Adj",="DCWC Foreign Tax Withhold",13, ,P,           $8471.81,           $8471.81, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 5,="GMPJHOTADJ",PHAATAJA,="N",="GMA",31-MAY-2021,0,="003",="790200", , , , , ,="INFOR Other Adj",="DCWC Foreign Tax Withhold",12, ,P,            $218.74,            $218.74, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="GMPJHOTADJ",PHAATAJA,="N",="GMA",30-SEP-2021,0,="003",="790200", , , , , ,="INFOR Other Adj",="DCWC Foreign Tax Withhold",11, ,P,            $614.41,            $614.41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,11,="GMPJHOTADJ",PHAATAJA,="N",="GMA",30-NOV-2021,0,="003",="790200", , , , , ,="INFOR Other Adj",="DCWC Foreign Tax Withhold",12, ,P,           $4983.32,           $4983.32, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 1,="GAJMH01201",JHEDGES,="N",="ENT",31-JAN-2021,0,="03B",="790200", , , , ,="03F",="India IC Interest",="STIP loan acctg ECB 1",3, ,P,           $2203.58,           $2203.58, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 1,="GAJMH01201",JHEDGES,="N",="ENT",31-JAN-2021,0,="03B",="790200", , , , ,="03F",="India IC Interest",="STIP loan acctg ECB 2",6, ,P,           $3169.77,           $3169.77, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 1,="GAJMH01201",JHEDGES,="N",="ENT",31-JAN-2021,0,="03B",="790200", , , , ,="03F",="India IC Interest",="STIP loan acctg ECB 3",9, ,P,           $3264.69,           $3264.69, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 1,="GAJMH01201",JHEDGES,="N",="ENT",31-JAN-2021,0,="03B",="790200", , , , ,="03F",="India IC Interest",="STIP loan acctg ECB 4",12, ,P,           $1005.88,           $1005.88, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 2,="GAJMH02201",JHEDGES,="N",="ENT",28-FEB-2021,0,="03B",="790200", , , , ,="03F",="India IC Interest",="STIP loan acctg ECB 1",3, ,P,           $2220.79,           $2220.79, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
