Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="791100"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022, 3,="FTJHACR",JHERRMAN,="N",="FTX",31-MAR-2021,0,="019",="791100", , , , , ,="Tax Accrual entry - Q1'2021",="Tax Accrual entry - Q1'2021",9,DTEHERO,P,         $982389.00,         $982389.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 6,="FTJHACR",JHERRMAN,="N",="FTX",30-JUN-2021,0,="019",="791100", , , , , ,="Tax Accrual entry - Q2'2021",="Tax Accrual entry - Q2'2021",6,KGREGORY,P,       $14798272.00,       $14798272.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="FTJHACR",JHERRMAN,="N",="FTX",30-SEP-2021,0,="019",="791100", , , , , ,="Tax Accrual entry - Q3'2021",="Tax Accrual entry - Q3'2021",6,JHERRMAN,P,        $7709352.00,        $7709352.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTJHACR",JHERRMAN,="N",="FTX",31-MAR-2021,0,="020",="791100", , , , , ,="Tax Accrual entry - Q1'2021",="Tax Accrual entry - Q1'2021",57,DTEHERO,P,      $202844560.00,      $202844560.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 6,="FTJHACR",JHERRMAN,="N",="FTX",30-JUN-2021,0,="020",="791100", , , , , ,="Tax Accrual entry - Q2'2021",="Tax Accrual entry - Q2'2021",49,KGREGORY,P,     $-333074394.00,     $-333074394.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="FTJHACR",JHERRMAN,="N",="FTX",30-SEP-2021,0,="020",="791100", , , , , ,="Tax Accrual entry - Q3'2021",="Tax Accrual entry - Q3'2021",46,JHERRMAN,P,      $-51067095.00,      $-51067095.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTJHACR",JHERRMAN,="N",="FTX",31-MAR-2021,0,="021",="791100", , , , , ,="Tax Accrual entry - Q1'2021",="Tax Accrual entry - Q1'2021",78,DTEHERO,P,      $-34849769.00,      $-34849769.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 6,="FTJHACR",JHERRMAN,="N",="FTX",30-JUN-2021,0,="021",="791100", , , , , ,="Tax Accrual entry - Q2'2021",="Tax Accrual entry - Q2'2021",69,KGREGORY,P,       $-4205907.00,       $-4205907.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="FTJHACR",JHERRMAN,="N",="FTX",30-SEP-2021,0,="021",="791100", , , , , ,="Tax Accrual entry - Q3'2021",="Tax Accrual entry - Q3'2021",66,JHERRMAN,P,        $3335404.00,        $3335404.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTJHACR",JHERRMAN,="N",="FTX",31-MAR-2021,0,="02S",="791100", , , , , ,="Tax Accrual entry - Q1'2021",="Tax Accrual entry - Q1'2021",95,DTEHERO,P,         $136421.00,         $136421.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
