Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="136520"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="003",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",3, ,P,        $2058133.00,        $2058133.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="020",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",5, ,P,          $-7293.00,          $-7293.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="03U",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",7, ,P,          $-9172.00,          $-9172.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="040",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",9, ,P,          $-3213.00,          $-3213.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="045",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",11, ,P,          $-5463.00,          $-5463.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 6,="FTJHACR",JHERRMAN,="N",="FTX",30-JUN-2021,0,="047",="136520", , , , , ,="Tax Accrual entry - Q2'2021",="Tax Accrual entry - Q2'2021",115,KGREGORY,P,        $1700000.00,        $1700000.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTJHACR",JHERRMAN,="N",="FTX",31-MAR-2021,0,="09A",="136520", , , , , ,="Tax Accrual entry - Q1'2021",="Tax Accrual entry - Q1'2021",206,DTEHERO,P,        $-494552.00,        $-494552.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="09A",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",13, ,P,        $-494552.00,        $-494552.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_014",JHERRMAN,="N",="PPA",31-MAR-2021,0,="09A",="136520", , , , , ,="Tax PPA entry - Q1'2021",="Tax PPA entry - Q1'2021",207,DTEHERO,P,         $494552.00,         $494552.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 3,="FTJHACR",JHERRMAN,="N",="FTX",31-MAR-2021,0,="135",="136520", , , , , ,="Tax Accrual entry - Q1'2021",="Tax Accrual entry - Q1'2021",289,DTEHERO,P,         $-27701.00,         $-27701.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_011",JHERRMAN,="N",="PPA",31-MAR-2021,0,="135",="136520", , , , , ,="Tax PPA Accrued Foreign TU",="Tax PPA Accrued Foreign TU",15, ,P,         $-27701.00,         $-27701.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,15,="PPAQ1_014",JHERRMAN,="N",="PPA",31-MAR-2021,0,="135",="136520", , , , , ,="Tax PPA entry - Q1'2021",="Tax PPA entry - Q1'2021",186,DTEHERO,P,          $27701.00,          $27701.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
